index	name	pval	adj_pval	diff	t_statistic	se	df	avg_abundance	n_approx	n_obs
142	F4JLT3	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
143	O49652;F4JLY4	0.411562602	0.581863887	-0.77516381	-0.846402871	0.915833154	14	21.33380924	7.363138843	7
144	F4JMJ1	4.11E-05	0.000304731	-1.786984471	-5.865410018	0.304664885	14	22.26086106	14.14787104	14
145	F4JML5	0.310495684	0.471655282	0.283024173	1.052279338	0.268962967	14	24.06328442	14.51807592	15
146	F4JQ55;Q9STX5	0.000102878	0.000681517	-2.419597717	-5.347720527	0.452454032	14	24.91274871	13.07674074	13
147	F4JQG6	3.90E-06	3.89E-05	-2.400483684	-7.301140224	0.328782027	14	23.83876527	13.63137925	14
148	F4JRE0;Q9FYQ8	0.069072891	0.150116963	-3.080093233	-1.969010119	1.564285121	14	21.99110289	7.001	6
149	F4JRI7	8.31E-11	4.23E-09	-2.586314337	-17.18584648	0.150490949	14	24.350586	12.06255457	12
150	F4JRN8	0.343184959	0.507176697	-1.566008373	-0.981120678	1.596142461	14	21.60973427	7.001	6
151	F4JRR1	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
152	F4JT76	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
153	F4JTK8	0.05457475	0.125809881	-3.435890013	-2.097601367	1.638009045	14	22.0681134	7.001	4
154	F4JTN1	0.196091492	0.331174828	-2.214495155	-1.357536817	1.63125974	14	21.83000329	7.001	5
155	F4JTU8	0.917637743	0.939859012	-0.129706096	-0.105292098	1.231869228	14	21.57134539	7.001	1
156	F4JUM1	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
157	F4JUY5	0.24161864	0.389180293	-2.000458042	-1.222725447	1.636064781	14	21.67039388	7.001	5
158	F4JVC1;Q03251	5.62E-10	1.83E-08	-1.956756962	-14.88741273	0.131437006	14	23.44461485	9.959000453	10
159	F4JVM4	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
160	F4JVN6	0.010027011	0.032355623	-2.248413002	-2.97548097	0.755646911	14	22.65166354	8.751485061	8
161	F4JXW9	0.771689758	0.931203884	0.436412277	0.29584694	1.475128581	14	21.03782239	7.001	3
162	F4JY76	0.002216712	0.009171535	-0.644828364	-3.735345384	0.172628846	14	25.28946108	21	21
163	F4JZV1	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
164	F4K0E8	0.113416859	0.218637004	-1.801435603	-1.688694971	1.066761987	14	21.64567238	6.528358678	6
165	F4K1G7	0.629249024	0.800188468	0.07678099	0.49358962	0.15555633	14	24.02913585	21.00000006	21
166	F4K410	0.607056385	0.778621948	-0.740858818	-0.526094888	1.408222804	14	21.35668049	7.001	2
167	F4K5B9;Q95460	1.03E-05	9.17E-05	-2.209443206	-6.687374078	0.330390252	14	24.54477294	13.21408682	13
168	F4K5S0	0.766839551	0.927791588	0.442008336	0.302338007	1.461967484	14	21.19031335	7.001	1
